Country,Afghanistan,Eritrea,Iraq,Kosovo,Pakistan,Syria
Austria,24840,85,13225,2305,2890,24720
Belgium,7730,335,9215,470,340,10295
Bulgaria,6165,0,6910,0,570,5955
Croatia,10,0,5,10,0,25
Cyprus,10,0,60,0,120,910
Czech Republic,25,0,35,10,5,130
Denmark,2215,1705,1470,110,90,8580
Estonia,10,0,15,0,5,15
Finland,5190,70,20400,160,55,875
France,2410,895,3065,3825,1805,4625
Germany,31380,10875,29785,33425,8200,158655
Greece,1545,135,575,0,1505,3325
Hungary,45560,535,9175,23690,15010,64080
Ireland,125,5,40,15,1350,75
Italy,3985,700,505,320,10285,505
Latvia,35,0,85,0,5,5
Lithuania,30,0,25,0,0,5
Luxembourg,220,45,545,190,5,635
Malta,0,45,10,0,5,395
Netherlands,2550,7390,3010,685,155,18640
Poland,15,5,55,0,20,285
Portugal,5,0,5,5,65,15
Romania,90,5,190,0,30,550
Slovakia,25,0,170,0,5,5
Slovenia,45,0,45,25,25,15
Spain,40,10,130,0,105,5720
Sweden,41190,6515,20190,1605,515,50890
United Kingdom,2850,3755,2650,30,3365,2795
European Union,178305,33115,121590,66885,46520,362730
