Name,Pop,ID,
Austria,"8,451,860",0,
Wien,"1,741,246",1,
Graz,"265,778",1,
Linz,"191,501",1,
Salzburg,"145,871",1,
Innsbruck,"122,458",1,
Belgium,"11,203,992",0,4
Bruxelles / Brussel,"1,183,841",2,
Antwerpen,"513,915",2,
Gent,"251,984",2,
Charleroi,"203,640",2,
Liäge,"382,637",2,
Brugge,"117,886",2,
Namur,"111,348",2,
Bulgaria,"7,245,677",2,
Sofia,"1,221,292",2,
Plovdiv,"341,041",2,
Varna,"335,819",2,
Burgas,"199,364",2,
Pleven,"103,122",2,
Ruse,"147,817",2,
Stara Zagora,"137,834",2,
Bulgaria,"7,245,677",0,
Sofia,"1,221,292",3,
Plovdiv,"341,041",3,
Varna,"335,819",3,
Burgas,"199,364",3,
Pleven,"103,122",3,
Ruse,"147,817",3,
Stara Zagora,"137,834",3,
Croatia,"4,253,000",0,
Zagreb,"790,017",4,
Split,"178,102",4,
Rijeka,"128,624",4,
Osijek,"108,048",4,
Cyprus,"796,900",0,
Lefkosia,"234,200",5,
Lemesos,"185,100",5,
Czech Republic,"10,538,275",0,
Praha,"1,259,079",6,
Brno,"377,440",6,
Ostrava,"294,200",6,
Plzen,"169,033",6,
Liberec,"102,562",6,
Denmark,"5,602,628",0,
K?benhavn,"559,440",7,
èrhus,"319,094",7,
Odense,"193,370",7,
Aalborg,"203,448",7,
Estonia,"1,315,819",0,
Tallinn,"411,063",8,
Finland,"5,451,270",0,
Helsinki / Helsingfors,"612,664",9,
Helsinki / Helsingfors (greater city),"1,090,616",9,
Tampere / Tammerfors,"220,446",9,
Turku / èbo,"182,072",9,
Oulu,"193,798",9,
Espoo / Esbo,"260,753",9,
Vantaa / Vanda,"208,098",9,
Lahti / Lahtis,"103,364",9,
Kuopio,"110,113",9,
JyvÑskylÑ,"134,658",9,
France,"65,615,841",0,
Paris,"2,229,870",10,
Paris (greater city),"6,728,051",10,
Lyon,"1,333,618",10,
Toulouse,"734,976",10,
Strasbourg,"475,993",10,
Bordeaux,"742,115",10,
Nantes,"609,199",10,
Lille,"1,128,828",10,
Montpellier,"441,929",10,
Saint-Etienne,"376,266",10,
Le Havre,"236,040",10,
Rennes,"414,186",10,
Amiens,"175,387",10,
Nancy,"254,030",10,
Metz,"217,104",10,
Reims,"210,177",10,
OrlÇans,"276,686",10,
Dijon,"247,164",10,
Poitiers,"135,730",10,
Clermont-Ferrand,"283,635",10,
Caen,"217,219",10,
Limoges,"197,643",10,
Besanáon,"178,653",10,
Grenoble,"408,046",10,
Saint Denis,"197,245",10,
Fort-de-France,"160,980",10,
Toulon,"425,505",10,
Valenciennes,"190,436",10,
Tours,"281,151",10,
Angers,"269,176",10,
Brest,"207,142",10,
Le Mans,"185,346",10,
Avignon,"177,830",10,
Mulhouse,"255,337",10,
Dunkerque,"193,806",10,
Perpignan,"261,939",10,
Nåmes,"244,598",10,
Pau,"145,163",10,
Bayonne,"126,064",10,
Annecy,"142,933",10,
Lorient,"188,026",10,
MontbÇliard,"116,166",10,
Troyes,"126,165",10,
Saint-Nazaire,"120,497",10,
La Rochelle,"148,498",10,
Angoulàme,"103,977",10,
Boulogne-sur-Mer,"117,234",10,
ChambÇry,"125,481",10,
Chalon-sur-Saìne,"106,018",10,
Chartres,"110,582",10,
Niort,"103,874",10,
BÇziers,"113,785",10,
Saint-Brieuc,"115,905",10,
Vannes,"135,807",10,
Aubagne,"103,477",10,
Aix-en-Provence,"360,109",10,
Marseille,"1,049,857",10,
Nice,"519,525",10,
CA de Sophia-Antipolis,"174,322",10,
Lens - LiÇvin,"241,629",10,
HÇnin - Carvin,"124,368",10,
Douai,"150,935",10,
Versailles,"182,105",10,
CC de la Boucle de la Seine,"170,904",10,
Valence,"119,293",10,
Rouen,"488,826",10,
CA Europ' Essonne,"139,260",10,
Melun,"109,301",10,
Evry,"115,985",10,
CA du Val d'Orge,"131,450",10,
CA Val de France,"140,742",10,
CA de la VallÇe de Montmorency,"109,425",10,
Argenteuil - Bezons,"134,639",10,
Cergy-Pontoise,"195,514",10,
Saint-Quentin en Yvelines,"144,929",10,
Germany,"80,767,463",0,
Berlin,"3,421,829",11,
Hamburg,"1,746,342",11,
MÅnchen,"1,407,836",11,
