Country,Afghanistan,Eritrea,Iraq,Kosovo,Pakistan,Syria
Austria,2110,45,910,60,40,7940
Belgium,985,650,960,45,80,3670
Bulgaria,5,0,155,0,0,5320
Croatia,0,0,5,0,0,0
Cyprus,0,0,35,0,0,1390
Czech Republic,5,0,15,0,0,130
Denmark,80,2880,25,0,10,5705
Estonia,0,0,0,0,0,0
Finland,105,5,605,0,10,135
France,700,480,2740,530,165,3110
Germany,2840,9300,14880,130,195,101415
Greece,345,70,110,0,35,2795
Hungary,85,10,45,0,10,160
Ireland,40,10,30,0,15,25
Italy,3280,525,585,55,3495,330
Latvia,5,0,0,0,0,15
Lithuania,15,0,20,0,0,5
Luxembourg,0,30,20,5,0,80
Malta,0,55,5,0,0,270
Netherlands,360,4875,255,0,70,7850
Poland,15,10,50,0,0,205
Portugal,0,0,0,0,5,0
Romania,15,0,60,0,0,335
Slovakia,0,0,15,0,0,10
Slovenia,0,0,0,0,0,10
Spain,50,5,5,0,60,655
Sweden,1075,6530,515,55,25,18470
United Kingdom,790,1570,310,0,770,2055
European Union,12925,27050,22360,880,4995,162095
