Country,Pop,ID
Austria,8451860,0
Wien,1741246,1
Graz,265778,1
Belgium,11203992,0
Bruxelles / Brussel,1183841,2
Antwerpen,513915,2
Gent,251984,2
Charleroi,203640,2
Liège,382637,2
Bulgaria,7245677,2
Sofia,1221292,2
Plovdiv,341041,2
Varna,335819,2
Bulgaria,7245677,0
Sofia,1221292,3
Plovdiv,341041,3
Varna,335819,3
Croatia,4253000,0
Zagreb,790017,4
Cyprus,796900,0
Lefkosia,234200,5
Czech Republic,10538275,0
Praha,1259079,6
Brno,377440,6
Ostrava,294200,6
Denmark,5602628,0
København,559440,7
Århus,319094,7
Aalborg,203448,7
Estonia,1315819,0
Tallinn,411063,8
Finland,5451270,0
Helsinki / Helsingfors,612664,9
Helsinki / Helsingfors (greater city),1090616,9
Tampere / Tammerfors,220446,9
Espoo / Esbo,260753,9
Vantaa / Vanda,208098,9
France,65615841,0
Paris,2229870,10
Paris (greater city),6728051,10
Lyon,1333618,10
Toulouse,734976,10
Strasbourg,475993,10
Bordeaux,742115,10
Nantes,609199,10
Lille,1128828,10
Montpellier,441929,10
Saint-Etienne,376266,10
Le Havre,236040,10
Rennes,414186,10
Nancy,254030,10
Metz,217104,10
Reims,210177,10
Orléans,276686,10
Dijon,247164,10
Clermont-Ferrand,283635,10
Caen,217219,10
Grenoble,408046,10
Toulon,425505,10
Tours,281151,10
Angers,269176,10
Brest,207142,10
Mulhouse,255337,10
Perpignan,261939,10
Nîmes,244598,10
Aix-en-Provence,360109,10
Marseille,1049857,10
Nice,519525,10
Lens - Liévin,241629,10
Rouen,488826,10
Germany,80767463,0
Berlin,3421829,11
Hamburg,1746342,11
München,1407836,11
Köln,1034175,11
Frankfurt am Main,701350,11
Essen,569884,11
Stuttgart,604297,11
Leipzig,531562,11
Dresden,530754,11
Dortmund,575944,11
Düsseldorf,598686,11
Bremen,548547,11
Hannover,518386,11
Nürnberg,498876,11
Bochum,361734,11
Bielefeld,328864,11
Halle an der Saale,231565,11
Magdeburg,231021,11
Wiesbaden,273871,11
Freiburg im Breisgau,220286,11
Erfurt,204880,11
Augsburg,276542,11
Bonn,311287,11
Karlsruhe,299103,11
Mönchengladbach,255430,11
Mainz,204268,11
Kiel,241533,11
Rostock,203431,11
Duisburg,486855,11
Mannheim,296690,11
Gelsenkirchen,257850,11
Münster,299708,11
Chemnitz,242022,11
Braunschweig,247227,11
Aachen,241683,11
Krefeld,222058,11
Oberhausen,209097,11
Lübeck,212958,11
Wuppertal,343488,11
Greece,10816286,0
Athina,664046,12
Athina (greater city),2641511,12
Thessaloniki,315196,12
Hungary,9877365,0
Budapest,1744665,13
Debrecen,203914,13
Ireland,4570881,0
Dublin,516255,14
Dublin (greater city),1261332,14
Italy,60782668,0
Roma,2863322,15
Milano,1324169,15
Milano (greater city),3207006,15
Napoli,989111,15
Napoli (greater city),3176107,15
Torino,902137,15
Palermo,678492,15
Genova,596958,15
Firenze,377207,15
Bari,322751,15
Bologna,384202,15
Catania,315576,15
Venezia,264534,15
Verona,259966,15
Trieste,204849,15
Taranto,203257,15
Padova,209678,15
Messina,241997,15
Latvia,2001468,0
Riga,643368,16
Lithuania,2943472,0
Vilnius,539707,17
Kaunas,304012,17
Luxembourg (Grand Duchy),493500,0
Luxembourg (City),493500,18
Malta,412970,0
Valletta,203250,19
Netherlands,16829289,0
's-Gravenhage,508940,20
Amsterdam,810938,20
Amsterdam (greater city),1046551,20
Rotterdam,618357,20
Rotterdam (greater city),980729,20
Utrecht,328164,20
Eindhoven,220920,20
Tilburg,210267,20
Poland,38478602,0
Warszawa,1735442,21
Lódz,706004,21
Kraków,761873,21
Wroclaw,634487,21
Poznan,545680,21
Gdansk,461489,21
Szczecin,407180,21
Bydgoszcz,357652,21
Lublin,341722,21
Katowice,301834,21
Górnoslaski Zwiazek Metropolitalny,1893271,21
Bialystok,295459,21
Torun,203158,21
Czestochowa,230123,21
Radom,217201,21
Gdynia,247820,21
Sosnowiec,209274,21
Portugal,10487289,0
Lisboa,524282,22
Lisboa (greater city),1849472,22
Porto,227535,22
Porto (greater city),968905,22
Sintra,379963,22
Vila Nova de Gaia,303149,22
Romania,22298253,0
Bucuresti,2110878,23
Cluj-Napoca,321427,23
Timisoara,333825,23
